id,name,code,period,department,employee,last_update,ehd_update,filename
276394,13510000100480200002 Число страховых организаций по размеру уставного капитала (с 2012 г.),13510000100480200002,2012 - 2019,Управление статистики цен и финансов,Ермакова Юлия Николаевна,2020-05-30T02:36:42+00:00,2020-05-28T22:52:01+00:00,"2019_г_,_13510000100480200002_Число_страховых_организаций_по_размеру_уставного_капитала_(с_2012_г_).csv"
279993,13510000100540200002 Объекты бытового обслуживания населения по 2016 г.,13510000100540200002,2009 - 2016,"Управление разработки таблиц ""затраты-выпуск"" и статистики групп предприятий",Кулагина Н.Б.,2019-05-02T11:24:03+00:00,2019-04-27T11:12:49+00:00,13510000100540200002_Объекты_бытового_обслуживания_населения_по_2016_г_.csv
275720,"13510000100540200003 Число объектов бытового обслуживания населения, оказывающих услуги, с 2017 года",13510000100540200003,2017 - 2019,,,2020-09-12T13:23:47+00:00,2020-09-11T23:02:35+00:00,"13510000100540200003_Число_объектов_бытового_обслуживания_населения,_оказывающих_услуги,_с_2017_года.csv"
279995,"13510000100560200002 Приемные пункты бытового обслуживания населения, принимающие заказы от населения, по 2016 г.",13510000100560200002,2009 - 2016,"Управление разработки таблиц ""затраты-выпуск"" и статистики групп предприятий",Кулагина Н.Б.,2021-04-19T04:33:48+00:00,2019-04-28T16:30:28+00:00,"13510000100560200002_Приемные_пункты_бытового_обслуживания_населения,_принимающие_заказы_от_населени.csv"
275722,13510000100560200003 Число приемных пунктов бытового обслуживания населения с 2017 года,13510000100560200003,2017 - 2019,,,2021-04-19T04:39:16+00:00,2020-09-11T23:02:35+00:00,13510000100560200003_Число_приемных_пунктов_бытового_обслуживания_населения_с_2017_года.csv
274452,13510000100680200001 Количество организаций с 2017г.,13510000100680200001,2017 - 2020,Управление статистики цен и финансов,Коновалова О.А.,2021-10-13T19:28:36+00:00,2021-10-11T15:37:01+00:00,
275016,13510000100680200002 Количество   организаций,13510000100680200002,2003 - 2016,Управление статистики цен и финансов,Исаакян Е.Г.,2020-01-03T09:20:54+00:00,2019-12-24T18:56:18+00:00,13510000100680200002_Количество___организаций.csv
273774,13510000100840200001 Число турфирм,13510000100840200001,2002 - 2020,,,2021-08-27T18:53:21+00:00,2021-08-11T22:06:44+00:00,13510000100840200001_Число_турфирм.csv
277364,13510000101060200001 Количество индивидуальных предпринимателей по данным государственной регистрации с 2017 г.,13510000101060200001,2017 - 2022,Управление координации и развития статистического учета,Комиссарова Н.А.,2022-02-25T06:04:28+00:00,2022-02-22T07:06:27+00:00,13510000101060200001_Количество_индивидуальных_предпринимателей_по_данным_государственной_регистраци.csv
278604,13510000101190200001 Численность  членов кооператива,13510000101190200001,2010 - 2016,Управление статистики цен и финансов,Курляндская М. В.,2019-10-26T07:40:58+00:00,2018-10-18T14:36:14+00:00,13510000101190200001_Численность__членов_кооператива.csv
276690,13510000101190200002 Численность членов кооператива,13510000101190200002,2008 - 2018,Управление статистики торговли и услуг,Тиванова Т.С.,2019-10-26T07:40:58+00:00,2019-04-15T08:45:52+00:00,13510000101190200002_Численность_членов_кооператива.csv
279348,13510000101290200001 Количество особо охраняемых природных территорий,13510000101290200001,2013 - 2019,Управление статистики сельского хозяйства и окружающей природной среды,Александрова Нина Михайловна,2020-04-18T23:39:48+00:00,2020-04-17T22:49:31+00:00,13510000101290200001_Количество_особо_охраняемых_природных_территорий.csv
277248,"13510000101290200002 Площадь  новых ООПТ, созданных в отчетном году",13510000101290200002,2018 - 2019,,,2020-04-19T01:19:44+00:00,2020-04-17T22:58:45+00:00,"13510000101290200002_Площадь__новых_ООПТ,_созданных_в_отчетном_году.csv"
277318,"13510000101290200003 Количество новых ООПТ, созданных в отчетном году",13510000101290200003,2018 - 2019,,,2020-04-19T01:19:44+00:00,2020-04-17T22:55:30+00:00,"13510000101290200003_Количество_новых_ООПТ,_созданных_в_отчетном_году.csv"
277966,13510000101330200001 Численность фактически действующих индивидуальных предпринимателей с 2017г.,13510000101330200001,2017 - 2017,Управление статистики предприятий,Климова А.Б.,2019-07-18T10:31:13+00:00,2020-07-15T23:06:07+00:00,13510000101330200001_Численность_фактически_действующих_индивидуальных_предпринимателей_с_2017г_.csv
278448,13510000101330200002 Численность фактически действующих индивидуальных предпринимателей по 2016г.,13510000101330200002,2011 - 2016,Управление статистики предприятий,Климова А.Б.,2021-12-04T20:07:12+00:00,2018-03-29T12:05:03+00:00,13510000101330200002_Численность_фактически_действующих_индивидуальных_предпринимателей_по_2016г_.csv
277968,"13510000101360200001 Численность наемных работников, занятых в сфере предпринимательской деятельности без образования юридического лица с 2017г.",13510000101360200001,2017 - 2019,Управление статистики предприятий,Климова А.Б.,2021-12-04T20:21:33+00:00,2020-07-15T23:07:17+00:00,"13510000101360200001_Численность_наемных_работников,_занятых_в_сфере_предпринимательской_деятельност.csv"
277970,13510000101360200002 Число занятых в бизнесе индивидуального предпринимателя с 2017г.,13510000101360200002,2017 - 2019,Управление статистики предприятий,Климова А.Б.,2021-12-04T20:21:33+00:00,2020-07-15T23:06:07+00:00,13510000101360200002_Число_занятых_в_бизнесе_индивидуального_предпринимателя_с_2017г_.csv
278452,"13510000101360200003 Численность наемных работников, занятых в сфере предпринимательской деятельности без образования юридического лица",13510000101360200003,2011 - 2016,Управление статистики предприятий,Климова А.Б.,2021-12-04T20:21:33+00:00,2018-03-29T12:05:03+00:00,"13510000101360200003_Численность_наемных_работников,_занятых_в_сфере_предпринимательской_деятельност.csv"
278454,13510000101360200004 Число занятых в бизнесе индивидуального предпринимателя по 2016 г.,13510000101360200004,2012 - 2016,Управление статистики предприятий,Климова А.Б.,2021-12-04T20:21:33+00:00,2018-03-29T12:12:25+00:00,13510000101360200004_Число_занятых_в_бизнесе_индивидуального_предпринимателя_по_2016_г_.csv
278816,"13510000101440200001 Количество организаций, входящих в состав объединений (ассоциаций, союза и др.) по 2016 г.",13510000101440200001,2013 - 2016,,,2019-05-05T17:31:45+00:00,2019-05-04T20:33:44+00:00,"13510000101440200001_Количество_организаций,_входящих_в_состав_объединений_(ассоциаций,_союза_и_др_).csv"
274036,13510000101440200002 Доля экспорта в общем объеме товарооборота (с 2017 г.),13510000101440200002,2017 - 2020,,,2021-01-16T04:42:01+00:00,2021-01-15T23:06:27+00:00,13510000101440200002_Доля_экспорта_в_общем_объеме_товарооборота_(с_2017_г_).csv
279394,13510000101540200001 Общее количество охотпользователей,13510000101540200001,2005 - 2019,Управление статистики сельского хозяйства и окружающей природной среды,Кислова Е.В.,2020-05-29T21:31:49+00:00,2020-05-23T00:06:05+00:00,13510000101540200001_Общее_количество_охотпользователей.csv
